tick: 387.0,             Human number: 0,             Zombie number: 105
tick: 388.0,             Human number: 0,             Zombie number: 105
tick: 389.0,             Human number: 0,             Zombie number: 105
tick: 390.0,             Human number: 0,             Zombie number: 105
tick: 391.0,             Human number: 0,             Zombie number: 105
tick: 392.0,             Human number: 0,             Zombie number: 105
tick: 393.0,             Human number: 0,             Zombie number: 105
tick: 394.0,             Human number: 0,             Zombie number: 105
tick: 395.0,             Human number: 0,             Zombie number: 105
tick: 396.0,             Human number: 0,             Zombie number: 105
tick: 397.0,             Human number: 0,             Zombie number: 105
tick: 398.0,             Human number: 0,             Zombie number: 105
tick: 399.0,             Human number: 0,             Zombie number: 105
tick: 400.0,             Human number: 0,             Zombie number: 105
tick: 401.0,             Human number: 0,             Zombie number: 105
tick: 402.0,             Human number: 0,             Zombie number: 105
tick: 403.0,             Human number: 0,             Zombie number: 105
tick: 404.0,             Human number: 0,             Zombie number: 105
tick: 405.0,             Human number: 0,             Zombie number: 105
tick: 406.0,             Human number: 0,             Zombie number: 105
tick: 407.0,             Human number: 0,             Zombie number: 105
tick: 408.0,             Human number: 0,             Zombie number: 105
tick: 409.0,             Human number: 0,             Zombie number: 105
tick: 410.0,             Human number: 0,             Zombie number: 105
tick: 411.0,             Human number: 0,             Zombie number: 105
tick: 412.0,             Human number: 0,             Zombie number: 105
tick: 413.0,             Human number: 0,             Zombie number: 105
tick: 414.0,             Human number: 0,             Zombie number: 105
tick: 415.0,             Human number: 0,             Zombie number: 105
tick: 416.0,             Human number: 0,             Zombie number: 105
tick: 417.0,             Human number: 0,             Zombie number: 105
tick: 418.0,             Human number: 0,             Zombie number: 105
tick: 419.0,             Human number: 0,             Zombie number: 105
tick: 420.0,             Human number: 0,             Zombie number: 105
tick: 421.0,             Human number: 0,             Zombie number: 105
tick: 422.0,             Human number: 0,             Zombie number: 105
tick: 423.0,             Human number: 0,             Zombie number: 105
tick: 424.0,             Human number: 0,             Zombie number: 105
tick: 425.0,             Human number: 0,             Zombie number: 105
tick: 426.0,             Human number: 0,             Zombie number: 105
tick: 427.0,             Human number: 0,             Zombie number: 105
tick: 428.0,             Human number: 0,             Zombie number: 105
tick: 429.0,             Human number: 0,             Zombie number: 105
tick: 430.0,             Human number: 0,             Zombie number: 105
tick: 431.0,             Human number: 0,             Zombie number: 105
tick: 432.0,             Human number: 0,             Zombie number: 105
tick: 433.0,             Human number: 0,             Zombie number: 105
tick: 434.0,             Human number: 0,             Zombie number: 105
tick: 435.0,             Human number: 0,             Zombie number: 105
tick: 436.0,             Human number: 0,             Zombie number: 105
tick: 437.0,             Human number: 0,             Zombie number: 105
tick: 438.0,             Human number: 0,             Zombie number: 105
tick: 439.0,             Human number: 0,             Zombie number: 105
tick: 440.0,             Human number: 0,             Zombie number: 105
tick: 441.0,             Human number: 0,             Zombie number: 105
tick: 442.0,             Human number: 0,             Zombie number: 105
tick: 443.0,             Human number: 0,             Zombie number: 105
tick: 444.0,             Human number: 0,             Zombie number: 105
tick: 445.0,             Human number: 0,             Zombie number: 105
tick: 446.0,             Human number: 0,             Zombie number: 105
tick: 447.0,             Human number: 0,             Zombie number: 105
tick: 448.0,             Human number: 0,             Zombie number: 105
tick: 449.0,             Human number: 0,             Zombie number: 105
tick: 450.0,             Human number: 0,             Zombie number: 105
tick: 451.0,             Human number: 0,             Zombie number: 105
tick: 452.0,             Human number: 0,             Zombie number: 105
tick: 453.0,             Human number: 0,             Zombie number: 105
tick: 454.0,             Human number: 0,             Zombie number: 105
tick: 455.0,             Human number: 0,             Zombie number: 105
tick: 456.0,             Human number: 0,             Zombie number: 105
tick: 457.0,             Human number: 0,             Zombie number: 105
tick: 458.0,             Human number: 0,             Zombie number: 105
tick: 459.0,             Human number: 0,             Zombie number: 105
tick: 460.0,             Human number: 0,             Zombie number: 105
tick: 461.0,             Human number: 0,             Zombie number: 105
tick: 462.0,             Human number: 0,             Zombie number: 105
tick: 463.0,             Human number: 0,             Zombie number: 105
tick: 464.0,             Human number: 0,             Zombie number: 105
tick: 465.0,             Human number: 0,             Zombie number: 105
tick: 466.0,             Human number: 0,             Zombie number: 105
tick: 467.0,             Human number: 0,             Zombie number: 105
tick: 468.0,             Human number: 0,             Zombie number: 105
tick: 469.0,             Human number: 0,             Zombie number: 105
tick: 470.0,             Human number: 0,             Zombie number: 105
tick: 471.0,             Human number: 0,             Zombie number: 105
tick: 472.0,             Human number: 0,             Zombie number: 105
